Tanggal,Rata-rata Harga
2023/02/02,Rp 14.300
2023/02/03,Rp 14.312
2023/02/04,Rp 14.312
2023/02/05,Rp 14.312
2023/02/06,Rp 14.329
2023/02/07,Rp 14.338
2023/02/08,Rp 14.375
2023/02/09,Rp 14.383
2023/02/10,Rp 14.396
2023/02/11,Rp 14.396
2023/02/12,Rp 14.396
2023/02/13,Rp 14.404
2023/02/14,Rp 14.433
2023/02/15,Rp 14.438
2023/02/16,Rp 14.446
2023/02/17,Rp 14.462
2023/02/20,Rp 12.027
2023/02/21,Rp 14.564
2023/02/22,Rp 14.568
2023/02/23,Rp 14.568
2023/02/24,Rp 14.582
2023/02/27,Rp 12.036
2023/02/28,Rp 14.591
2023/03/02,Rp 14.582
2023/03/03,Rp 14.582
2023/03/04,Rp 14.582
2023/03/05,Rp 14.582
2023/03/06,Rp 14.632
2023/03/07,Rp 14.641
2023/03/08,Rp 14.641
2023/03/09,Rp 14.645
2023/03/10,Rp 14.655
2023/03/11,Rp 14.655
2023/03/12,Rp 14.655
2023/03/13,Rp 14.655
2023/03/14,Rp 14.655
2023/03/15,Rp 14.641
2023/03/16,Rp 14.655
2023/03/17,Rp 14.682
2023/03/18,Rp 14.682
2023/03/20,Rp 12.118
2023/03/21,Rp 14.682
2023/03/22,Rp 14.227
2023/03/23,Rp 14.262
2023/03/24,Rp 13.925
2023/03/27,Rp 12.159
2023/03/28,Rp 14.741
2023/03/29,Rp 14.759
2023/03/30,Rp 14.800
2023/03/31,Rp 14.768
2023/04/01,Rp 14.768
2023/04/02,Rp 14.768
2023/04/03,Rp 14.791
2023/04/04,Rp 14.777
2023/04/05,Rp 14.782
2023/04/06,Rp 14.777
2023/04/07,Rp 14.114
2023/04/08,Rp 14.114
2023/04/09,Rp 14.114
2023/04/10,Rp 13.491
2023/04/11,Rp 13.482
2023/04/12,Rp 13.532
2023/04/13,Rp 13.482
2023/04/14,Rp 13.482
2023/04/15,Rp 13.482
2023/04/17,Rp 12.173
2023/04/18,Rp 14.841
2023/04/19,Rp 14.741
2023/04/20,Rp 14.741
2023/04/21,Rp 14.741
2023/04/22,Rp 12.350
2023/04/23,Rp 12.350
2023/04/24,Rp 12.205
2023/04/25,Rp 14.750
2023/04/26,Rp 13.979
2023/04/27,Rp 13.979
2023/04/28,Rp 13.983
2023/04/29,Rp 13.983
2023/04/30,Rp 13.983
2023/05/02,Rp 13.988
2023/05/03,Rp 13.988
2023/05/04,Rp 13.988
2023/05/05,Rp 13.983
2023/05/06,Rp 13.983
2023/05/07,Rp 13.983
2023/05/08,Rp 13.983
2023/05/09,Rp 13.988
2023/05/10,Rp 13.845
2023/05/12,Rp 13.950
2023/05/13,Rp 13.950
2023/05/14,Rp 13.950
2023/05/15,Rp 13.955
2023/05/16,Rp 13.955
2023/05/17,Rp 13.996
2023/05/18,Rp 14.471
2023/05/19,Rp 14.008
2023/05/22,Rp 12.164
2023/05/23,Rp 14.955
2023/05/25,Rp 14.968
2023/05/26,Rp 14.991
2023/05/27,Rp 14.991
2023/05/28,Rp 14.991
2023/05/29,Rp 15.005
2023/05/30,Rp 15.045
2023/05/31,Rp 15.068
2023/06/01,Rp 15.059
2023/06/02,Rp 15.068
2023/06/03,Rp 15.068
2023/06/04,Rp 15.068
2023/06/05,Rp 14.650
2023/06/06,Rp 14.625
2023/06/07,Rp 14.638
2023/06/08,Rp 14.646
2023/06/09,Rp 14.646
2023/06/10,Rp 15.077
2023/06/11,Rp 14.100
2023/06/12,Rp 12.164
2023/06/13,Rp 15.086
2023/06/14,Rp 15.091
2023/06/15,Rp 15.095
2023/06/16,Rp 15.091
2023/06/17,Rp 15.091
2023/06/19,Rp 12.150
2023/06/20,Rp 15.123
2023/06/21,Rp 15.136
2023/06/22,Rp 15.141
2023/06/23,Rp 15.145
2023/06/26,Rp 12.155
2023/06/27,Rp 15.150
2023/06/28,Rp 15.150
2023/06/29,Rp 15.177
2023/06/30,Rp 15.327
2023/07/02,Rp 15.327
2023/07/03,Rp 14.717
2023/07/04,Rp 14.717
2023/07/05,Rp 14.717
2023/07/06,Rp 14.712
2023/07/07,Rp 14.708
2023/07/08,Rp 14.708
2023/07/09,Rp 14.708
2023/07/10,Rp 14.704
2023/07/11,Rp 14.700
2023/07/12,Rp 14.704
2023/07/13,Rp 14.708
2023/07/14,Rp 15.054
2023/07/17,Rp 12.177
2023/07/18,Rp 15.062
2023/07/19,Rp 14.841
2023/07/20,Rp 14.029
2023/07/21,Rp 13.977
2023/07/22,Rp 13.977
2023/07/23,Rp 13.977
2023/07/24,Rp 13.968
2023/07/25,Rp 13.973
2023/07/26,Rp 13.977
2023/07/27,Rp 13.977
2023/07/28,Rp 13.973
2023/07/29,Rp 13.973
2023/07/30,Rp 13.973
2023/07/31,Rp 13.995
2023/08/01,Rp 14.000
2023/08/02,Rp 13.955
2023/08/03,Rp 13.955
2023/08/04,Rp 13.945
2023/08/07,Rp 12.209
2023/08/09,Rp 15.045
2023/08/10,Rp 15.045
2023/08/11,Rp 15.055
2023/08/12,Rp 15.055
2023/08/13,Rp 15.055
2023/08/14,Rp 15.055
2023/08/15,Rp 15.059
2023/08/16,Rp 15.059
2023/08/17,Rp 15.195
2023/08/18,Rp 14.377
2023/08/21,Rp 12.373
2023/08/22,Rp 15.095
2023/08/23,Rp 15.091
2023/08/24,Rp 15.091
2023/08/25,Rp 15.109
2023/08/26,Rp 15.109
2023/08/27,Rp 15.109
2023/08/28,Rp 15.114
2023/08/29,Rp 15.141
2023/08/30,Rp 15.127
2023/08/31,Rp 15.168
2023/09/01,Rp 15.177
2023/09/02,Rp 15.177
2023/09/03,Rp 15.177
2023/09/04,Rp 15.250
2023/09/05,Rp 15.277
2023/09/06,Rp 15.291
2023/09/07,Rp 15.305
2023/09/08,Rp 15.318
2023/09/09,Rp 15.318
2023/09/10,Rp 15.318
2023/09/11,Rp 15.350
2023/09/12,Rp 15.391
2023/09/13,Rp 15.409
2023/09/14,Rp 15.441
2023/09/15,Rp 15.468
2023/09/18,Rp 13.055
2023/09/19,Rp 15.482
2023/09/20,Rp 15.500
2023/09/21,Rp 15.500
2023/09/22,Rp 15.573
2023/09/25,Rp 13.255
2023/09/26,Rp 15.595
2023/09/27,Rp 15.618
